Date,Time,Tsu,Vol,Country,City,Location,Mag,"MMI Int","Total Deaths","Total Missing"
10-05-2017,21:58:07,,,China," Xinjiang"," Quzgun, Taxkorgan Tajik","5,4",0,8,
11-05-2017,03:24:37,,,Iran,"  Ardabil",,"5,1",0,,
13-05-2017,18:00:52,,,Iran," Khorasan",,"5,6",0,3,
25-05-2017,09:55:51,,,Tanzania," Mwanza",,"4,4",0,1,
28-05-2017,11:04:37,,,Turkey," Manisa"," Saruhanli, Golmarmara","4,9",0,,
29-05-2017,14:35:51,,,Indonesia,"  Sulawesi","  Poso","6,6",7,,
12-06-2017,12:28:15,5652,,Greece," Lesbos",,"6,3",0,1,
14-06-2017,07:29:39,,,Guatemala," Quetzaltenango, Suchitepequez; Mexico",,"6,9",8,5,
21-06-2017,04:40:00,,,Nepal,"  Dhading",,"3,2",0,1,
22-06-2017,12:31:49,,,Guatemala," Escuintla, Suchitepequez, Guatemala",,"6,8",6,,
24-06-2017,02:37:48,,,Mozambique,,,"5,6",0,,
06-07-2017,08:03:55,,,Philippines," Leyte",,"6,5",9,4,
17-07-2017,23:35:14,5654,,Russia," Bering Island",,"7,7",8,,
18-07-2017,02:06:15,,,Peru,"  Arequipa",,"6,4",0,1,
20-07-2017,22:31:26,5655,,Turkey," Bodrum, Datca; Greece"," Kos","6,6",7,2,
02-08-2017,07:15:00,,,Chile,"  Santiago",,"5,4",0,1,
08-08-2017,13:19:54,,,China,"  Sichuan Province","  Aba","6,5",5,29,
08-08-2017,23:27:08,,,China,"  Xingjiang"," Bortala","6,3",0,,
11-08-2017,21:45:04,,,Peru," Arequipa",,"5,6",0,1,
13-08-2017,16:51:05,,,Peru,"  Junin",,"5,8",0,1,
21-08-2017,18:57:11,,,Italy,"  Ischia Island",,"4,2",0,2,
22-08-2017,22:27:03,,,Philippines," Leyte"," Ormoc",5,0,2,
08-09-2017,04:49:02,5658,,Mexico," Oaxaca, Chiapas, Tabasco; Guatemala",,"8,2",9,98,
19-09-2017,18:14:07,,,Mexico," Mexico City, Morelos, Puebla",,"7,1",9,369,
23-09-2017,12:53:48,,,Mexico,"  Oaxaca",,"6,1",0,5,
23-09-2017,20:48:16,,,Philippines," Mindanao"," Lanao Del Sur Province","5,7",0,,
31-10-2017,00:43:12,5663,,"New Caledonia","  Loyalty Islands",,"6,7",3,,
31-10-2017,11:50:37,,,Indonesia,"  Maluku","  Ambon","6,1",5,1,
01-11-2017,02:24:07,5664,,"New Caledonia","  Loyalty Islands",,"6,6",3,,
12-11-2017,18:18:18,,,Iran," Kermanshah; Iraq"," Kurdistan","7,3",8,630,
13-11-2017,02:29:08,,,"Costa Rica"," Jaco",,"6,5",8,2,
15-11-2017,05:30:22,,,"South Korea"," Pohang",,"5,5",8,,
17-11-2017,22:34:45,,,China,"  Tibet (Xizang Province)"," Nyingchi","6,4",9,,
18-11-2017,16:07:03,,,Indonesia," North Maluku"," Morotai","5,8",0,1,
19-11-2017,09:26:13,5723,,"New Caledonia","  Loyalty Islands",,"6,3",5,,
19-11-2017,15:10:28,5724,,"New Caledonia","  Loyalty Islands",,"6,6",4,,
