,Date,Year,Month,ISO_3,Precipitation,SPI
410,1935-03-31,1935,March,CAN,34.65,-0.83773486816891
411,1935-04-30,1935,April,CAN,25.56,1.6314402800705998
412,1935-05-31,1935,May,CAN,32.16,1.612080286425909
413,1935-06-30,1935,June,CAN,58.48,-0.7236711708329413
414,1935-07-31,1935,July,CAN,70.02,-1.372095261362249
415,1935-08-31,1935,August,CAN,61.07,0.14725339859139092
416,1935-09-30,1935,September,CAN,50.41,0.9895910877443046
417,1935-10-31,1935,October,CAN,47.48,0.30573207378944306
418,1935-11-30,1935,November,CAN,42.45,0.4081924797124533
419,1935-12-31,1935,December,CAN,33.53,1.353089386862641
420,1936-01-31,1936,January,CAN,36.93,-0.3324194597894083
421,1936-02-29,1936,February,CAN,27.08,0.4568214967284697
422,1936-03-31,1936,March,CAN,35.74,-1.136409892532432
423,1936-04-30,1936,April,CAN,28.14,0.6886531664806245
424,1936-05-31,1936,May,CAN,38.95,-0.10673700794665246
425,1936-06-30,1936,June,CAN,53.24,0.4978080889767685
426,1936-07-31,1936,July,CAN,64.12,0.0523569491582219
427,1936-08-31,1936,August,CAN,54.63,1.4919825479920452
428,1936-09-30,1936,September,CAN,57.74,-0.49483738563174035
429,1936-10-31,1936,October,CAN,46.09,0.5916270893051021
430,1936-11-30,1936,November,CAN,40.89,0.7300135993788204
431,1936-12-31,1936,December,CAN,41.59,-0.7047881264810743
432,1937-01-31,1937,January,CAN,34.94,0.15087532177496943
433,1937-02-28,1937,February,CAN,30.95,-0.5484219350057454
434,1937-03-31,1937,March,CAN,24.68,1.894182556513939
435,1937-04-30,1937,April,CAN,29.73,0.10763320112866337
436,1937-05-31,1937,May,CAN,37.91,0.15652808574222427
437,1937-06-30,1937,June,CAN,53.35,0.47216634878992353
438,1937-07-31,1937,July,CAN,58.57,1.392307757359685
439,1937-08-31,1937,August,CAN,65.68,-0.8153555111503835
440,1937-09-30,1937,September,CAN,51.66,0.7364484422163299
441,1937-10-31,1937,October,CAN,51.26,-0.47173782451933144
442,1937-11-30,1937,November,CAN,46.4,-0.4066750989299483
443,1937-12-31,1937,December,CAN,40.38,-0.39585117968877936
